기업명 (코드),Environment,Society,Governance
포스코인터내셔널 (047050),"기후위기 대응, 환경영향 저감","인재경영, 인권존중, 사회공헌","지배구조, 반부패, 이해관계자 커뮤니케이션"
코오롱인더 (120110),"Eco-life, 환경 효율성",안전관리 혁신,
하나금융지주 (086790),"기후변화대응 SBTi수립, 지속가능금융프레임워크 제정","하나 파워 온 프로그램 확대, 은행간 공동점포 운영 및 컬처뱅크를 통한 금융접근성 확대","지속가능경영위원회,소비자리스크관리위원회 활동 등 소비자보호디지털금융"
현대글로비스 (086280),"환경정책/전략 - 기후변화 대응 - 환경영향 저감, 친환경 물류 서비스 운영, 물류, 운송에너지 효율화, 생물다양성 보전 - 환경경영 성과","상생경영 - 인적자원개발 - 임직원 포용 정책, 워케이션 제도 - 안전보건 - 고객만족, 정보보호 - 지역사회","지배구조 - 주요 리스크관리 - 윤리경영, 컴플라이언스 - 인권경영 - 이해관계자 참여"
한라 (014790),환경경영 / 환경관리,기술혁신/ 안전 / 인권 / 노동 / 품질 /사회공헌,정도경영 / 거버넌스 / 리스크 관리
효성첨단소재 (298050),"기후변화대응, 그린경영","사업장 보건과 안전 강화, 인권경영, 인재육성, 지역사회 참여 등 지속가능경영","지배구조, 리스크 관리, 윤리경영"
LG디스플레이 (034220),"기후변화 대응, 오염 및 유해물질 관리, 수자원 관리, 폐기물 배출 및 관리, 친환경 제품 개발 및 인증 확대, 환경경영 체계, 환경 데이터","안전보건, 공급망 관리, 인적자원 관리, 인권경영, 노경소통, 정보보안 및 개인정보보호, 사회공헌 활동, 사회 데이터","정도경영, Compliance 경영, 이사회 및 위원회, 주주권리 보호, 리스크 관리 및 위기 관리체계, 지배구조 데이터"
무림페이퍼 (009200),"친환경경영, 친환경시스템, 기후변화대응, 산림과 목재","안전경영, 인재경영, 인권경영, 정보보안",리스크 관리
무림P&P (009580),"친환경경영, 친환경시스템, 기후변화대응, 산림과 목재","안전경영, 인재경영, 인권경영, 정보보안",리스크 관리
효성화학 (298000),"기후변화대응, 그린경영","인권경영, 인재선발 및 육성, 인재경영, 정보보안, 사업장 안전보건","지배구조, 리스크 관리, 윤리경영"
효성티앤씨 (298020),"기후변화대응, 그린경영","인권경영, 인재선발 및 육성, 인재경영, 정보보안, 사업장 안전보건","지배구조, 리스크 관리, 윤리경영"
효성 (004800),"기후변화대응, 그린경영","인권경영, 인재선발 및 육성, 인재경영, 정보보안, 사업장 안전보건","지배구조, 리스크 관리, 윤리경영"
효성중공업 (298040),"기후변화대응, 그린경영","인권경영, 인재선발 및 육성, 인재경영, 정보보안, 사업장 안전보건","지배구조, 리스크 관리, 윤리경영"
두산에너빌리티 (034020),"기후변화대응, 환경효율성 관리","인권경영, 인재육성 및 유지, 안전 및 보건, 동반성장, 공급망 관리, 품질경영, 고객만족, 사회공헌","지배구조, 윤리경영, 정보보안, 리스크 관리"
현대미포조선 (010620),기후변화 대응,"산업안전보건, 인권경영, 노사문화 및 소통, 품질경영, 지속가능한 공급망, 사회공헌 및 커뮤니티",
현대중공업 (329180),기후변화 대응,"산업안전보건, 인권경영, 노사문화 및 소통, 품질경영, 지속가능한 공급망, 사회공헌 및 커뮤니티",
한국조선해양 (009540),기후변화 대응,"산업안전보건, 인권경영, 노사문화 및 소통, 품질경영, 지속가능한 공급망, 사회공헌 및 커뮤니티",
LG전자 (066570),탄소중립 / 자원순환 / 제품 전과정 책임,공급망 관리 / 안전·환경 / 고객 / 구성원 / 사회공헌,지배구조 / 정도경영 / 준법경영 / 정보보호
SK가스 (018670),For the Planet,With Stakeholders,Through Transparency
DL이앤씨 (375500),"환경경영, 기후변화 대응(TCFD Report)","인권경영, 인재경영, 상생경영, 안전보건경영, 품질경영, 정보보호, 사회공헌","이사회, 윤리경영, 준법경영, 리스크 관리"
KB금융 (105560),환경을 위한 기후변화 전략 고도화,사회를 위한 책임경영 내재화,투명한 기업지배구조 확산
한화손해보험 (000370),녹색경영,"고객중심, 임직원 행복, 지역사회, 상생협력","지배구조, 윤리ㆍ준법경영, 리스크 관리"
기업은행 (024110),"녹색금융 확대, 기후변화 대응, 친환경 조성","임직원 존중, 금융소비자 보호, 사회공헌/포용금융 확대, 혁신성장 지원","준법/윤리경영 이행, 리스크 관리, 정보 보호"
한온시스템 (018880),"기후변화 대응, 친환경 경영","임직원, 협력사, 지역사회, 인권","이사회, 리스크 관리, 윤리"
아세아제지 (002310),기후변화대응과 순환경제체계구축,안전 및 보건,건전한 지배구조
아세아시멘트 (183190),기후변화대응과 순환경제체계구축,안전 및 보건,건전한 지배구조
아세아 (002030),기후변화대응과 순환경제체계구축,안전 및 보건,건전한 지배구조
한화투자증권 (003530),"녹색금융 추진, 친환경경영 실천","고객중심경영, 인재경영, 지역사회공헌","건전한 지배구조 확립, 선제적 위험관리, 윤리, 준법경영 강화"
S-Oil (010950),환경관리,"고객만족실현, 마케팅 커뮤니케이션, 인재관리, 조직문화/노사관계","지배구조, 준법경영"
두산 (000150),"환경경영, 친환경연구개발","고객만족경영, 안전보건경영, 품질경영, 인재경영, 공급망 관리, 사회공헌","ESG 거버넌스, 지배구조, 리스크 관리, 정보보안, 반부패·윤리경영·공정거래"
삼성생명 (032830),"친환경 책임투자 확대, 탈탄소 및 기후리스크 관리","고객중심경영 강화, 사업모델 및 기술 혁신을 통한 포용적 금융 확대, 행복한 열린 일터 구현, 이해관계자와의 동행","지배구조 건전성 확립, 윤리경영 안착, 리스크관리"
신한지주 (055550),"금융자산의 탄소배출량 측정 시스템, 기후채권, 녹색채권","스타트업 육성 플랫폼, 금융교육 통합 플랫폼"," 그룹사의 이사회 내 ESG 위원회 신설, ESG 성과관리체계 구축, 금융사기 예방활동"
한화생명 (088350),환경보호와 친환경경영 내재화,"경영성과, 사회적 책임 실천과 나눔경영",건전하고 투명한 지배구조 확립
에스케이바이오팜 (326030),"기후변화 대응 노력, 환경영향 최소화","헬스케어 접근성, 책임있는 연구 개발, 제품 품질 및 안전, 인적자원 관리, 인권보호 및 구성원의 삶의 질 향상, 사업장 안전 보건, 지속가능한 공급망, 책임있는 마케팅 및 고객 관계 관리, 개인정보 보호 및 데이터 보안, 지역사회 발전 및 기업시민 행동","기업 지배구조, 기업 윤리 및 컴플라이언스, 리스크 관리"
코웨이 (021240),"환경경영, 기후변화 대응, 제품 전과정 환경영향 저감, 에너지와 물, 자원순환과 자연보호","고객만족경영, 임직원, 파트너 및 협력사, 공급망 ESG, 안전 및 보건, 개인정보보호 및 보안, 인권, 지역사회 공헌","지배구조, 정도경영, 리스크 관리"
기아 (000270),환경경영 / TCFD Report / 환경영향 저감,임직원 / 인권 / 고객 / 지역사회,기업지배구조 / 컴플라이언스 / 리스크 관리
두산퓨얼셀 (336260),"환경 경영, 기후변화, 친환경 사업장, 친환경 제품","안전보건, 인권경영, 품질경영, 인재경영, 동반성장, 사회공헌","지배구조, 공급망 관리, 윤리경영, 혁신경영, 정보 보안"
한화 (000880),"기후변화 대응, TCFD Report, 환경안전보건경영","인재경영, 상생협력, 품질경영, 사회공헌","지배구조, 컴플라이언스, 정보보호, 리스크 관리"
LG이노텍 (011070),탄소중립,"안전보건, 제품 품질과 안전, 고객가치, R&D 혁신",
현대자동차 (005380),"환경경영, 기후변화 대응, 순환경제, 유해물질 관리 강화","임직원, 협력사, 고객사, 사회공헌","이사회 중심 책임경영, 윤리/준법경영, 리스크 경영"
대한항공 (003490),"기후변화 대응, 녹색경영","인권경영, 안전경영, 고객감동, 상생경영, 인재경영","건전한 지배구조, 윤리 및 준법경영, 리스크 관리"
롯데쇼핑 (023530),환경경영시스템 / 기후변화 대응 / 원재료 조달관리 및 자원순환,우수인력 확보 / 임직원 역량 강화 / 협력적 노사 관계 구축 / 사업장 안전문화 확산  / 고객 만족 및 서비스 강화 / 사회공헌활동,건전한 지배구조 / 주주 친화경영 / 정보보호 관리체계  / 준법경영 / 통합리스크 관리
롯데렌탈 (089860),"환경경영, 기후변화 대응","임직원, 노동과 인권, 정보보호, 협력사 동반성장, 지역사회","지배구조, 윤리경영"
GS리테일 (007070),"환경경영관리 체계,Green Product","Together with Employees, Together with Partners","투명한 지배구조, 윤리경영"
롯데정밀화학 (004000),"환경경영, 기후변화 대응","임직원 가치 향상, 안전보건","기업 지배구조, 리스크 관리"
대우조선해양 (042660),"친환경 중심 포트폴리오 구축, 탄소중립 & 친환경 조선소 구축","안전하고 건강한 일터 보장, 사람이 행복한 기업 추구, 지속가능 공급망 & 지역사회","원칙을 지키는 문화 정착, 기회를 향한 도전 장려, 체계적인 리스크 관리 실천"
롯데케미칼 (011170),"환경경영 강화, 기후위기 대응, 환경영향 최소화","가치경영, 인재경영, 상생경영","지배구조, 리스크 관리, 컴플라이언스, 윤리경영"
삼성전자 (005930),"환경경영 추진체계, 기후행동, 자원순환 극대화, 환경 친화적인 공급망","사회공헌, 중소기업·스타트업 지원, 삼성미래기술육성사업, 개인정보보호, 사이버보안, AI윤리, 디지털 웰빙, 노동 인권, 다양성과 포용, 안전·보건, 인재 양성, 조직 문화, 책임있는 공급망, 함께 성장하는 공급망", 책임광물 관리 투명성 확보
현대오토에버 (307950),"환경경영, 안전보건경영","임직원, 고객","지배구조, 윤리·준법경영 "
롯데지주 (004990),"친환경경영 선도, 저탄소경영 추진","혁신/포용경영 실천, 훌륭한 일터 조성, 지속가능한 파트너십 구축, 지역사회 발전 기여","선진 지배구조 정착, 주주가치 제고, 준법·윤리경영 실천, 리스크 관리 강화"
삼성에스디에스 (018260),"기후변화 리스크 대응, Value Chain 내 온실가스 관리, 친환경 데이터센터 운영, 친환경 물류체계 구축","안전한 근무환경을 위한 안전보건 활동, 임직원의 역량 개발 및 일하는 문화 혁신, 청소년 SW 교육을 통한 사회공, 협력회사 ESG 지원","ESG 위원회 운영, AI 윤리헌장 및 개인정보 보호, 디지털 책임 강화"
신세계 (004170),"환경경영, 기후변화 대응, 환경 영향 저감","혁신과 신뢰의 조직, 안전한 일터 구현, 함께하는 성장, 고객 중심 경영, 지역사회 상생발전, 나눔의 가치 실천","건전한 지배구조, 기업윤리 실천, 리스크 관리"
현대건설기계 (267270),"안전·보건·환경 경영, 사업장 탄소중립 및 제품 탄소배출 감축 전략","협력회사 동반성장, 임직원 가치 증진, 지역사회 기여","지배구조, 투명경영과 리스크 관리"
SGC에너지 (005090),"환경경영, 기후변화 대응","인권존중, 인재경영, 안전보건, 개인정보보호, 품질경영, 공급망 관리, 협력사 상생, 사회공헌","지배구조, 통합리스크 관리, 윤리준법경영"
현대두산인프라코어 (042670),"환경경영, 사업장 에너지 및 탄소배출, 환경자원 관리","책임있는 공급망, 지속가능한 일터, 건강한 지역사회","안정적 지배구조, 투명경영과 리스크 관리"
현대로템 (064350),"환경경영, 환경영향 관리, 기후변화 완화, 기후변화 대응 전략 수립 및 리스크 관리(TCFD)","안전 최우선 경영, 산업 안전 및 보건, 인재채용,유지 및 개발, 임직원 복지, 다양성&균등한 기회, 지역사회 활동, 공급망 리스크 관리","지속가능경영 체계 구축 및 운영, 지배구조 건정성, 윤리/준법 경영, 리스크 통합 관리, 정보보안 관리 강화"
롯데하이마트 (071840),환경경영 / 자원선순환체계 구축 / 기후변화 대응,개인정보보호 / 고객만족경영 / 행복한 조직문화 조성 / 파트너사 동반성장 / 사회공헌활동,지배구조 / 주주권리 보호 / 준법경영 / 리스크 관리
만도 (204320),"친환경 경영, 기후변화, 자원순환","기술 혁신, 품질 경영, 공급망 관리, 상생협력, 인권, 임직원, 안전","거버넌스, 정도경영 및 컴플라이언스, 정보보안, 리스크 관리"
현대모비스 (012330),"환경경영, 기후변화 대응, 순환경제 구현","지속가능한 공급망, 제품 책임, 기본권 보장, 임직원 가치 확대, 안전 및 보건, 사회공헌 및 지역사회 참여, 정보보호","주주가치 제고, 경쟁력있는 이사회, 감사기구 운영, 리스크 관리, 컴플라이언스 경영"
SK렌터카 (068400),"기후위기 대응, 녹색경영","인권경영, 산업안전보건, 조직문화, 인재양성, 고객, 협력사, 지역사회","지배구조, 윤리경영, 컴플라이언스"
OCI (010060),"기후위기 대응, 환경경영","인재경영, 동반성장, 사회공헌","지배구조, 리스크 관리, 윤리경영, 인권경영"
카카오 (035720),"환경경영체계, 기후변화대응, 친환경 데이터센터, 환경영향 저감, 친환경 서비스","카카오 크루, 파트너, 이용자, 커뮤니티","기업 지배구조, 리스크 관리, 윤리경영"
롯데제과 (280360),"환경경영체계, 순환경제, 기후변화 대응, 친환경 사업장","품질중심경영, 고객만족경영, 안전관리, 정보보안, 직원가치창조문화, 동반성장, 사회공헌","지배구조, 윤리경영, 주주권리 보호, 리스크 관리"
